Date : 2019-10-29 15:05:49
Directory : d:\vscode\angular\anti-drug-project\anti-drug-project\src\app\course-management
Total : 117 files,  5317 codes, 49 comments, 813 blanks, all 6179 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| plan-tasks\plan-tasks.component.ts                                                 | TypeScript |         11 |          0 |          4 |         15 |
| question\question-create\completion\completion.component.html                      | HTML       |         72 |          0 |          1 |         73 |
| question\question-create\completion\completion.component.less                      | Less       |         38 |          0 |         11 |         49 |
| question\question-create\completion\completion.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\completion\completion.component.ts                        | TypeScript |         37 |          4 |         10 |         51 |
| question\question-create\essay\essay.component.html                                | HTML       |         76 |          0 |          1 |         77 |
| question\question-create\essay\essay.component.less                                | Less       |         35 |          0 |         10 |         45 |
| question\question-create\essay\essay.component.spec.ts                             | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\essay\essay.component.ts                                  | TypeScript |         37 |          4 |         10 |         51 |
| question\question-create\indefinite-choice\indefinite-choice.component.html        | HTML       |         86 |          0 |          1 |         87 |
| question\question-create\indefinite-choice\indefinite-choice.component.less        | Less       |         35 |          0 |         10 |         45 |
| question\question-create\indefinite-choice\indefinite-choice.component.spec.ts     | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\indefinite-choice\indefinite-choice.component.ts          | TypeScript |        209 |          6 |         25 |        240 |
| question\question-create\judgement\judgement.component.html                        | HTML       |         76 |          0 |          1 |         77 |
| question\question-create\judgement\judgement.component.less                        | Less       |         35 |          0 |         10 |         45 |
| question\question-create\judgement\judgement.component.spec.ts                     | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\judgement\judgement.component.ts                          | TypeScript |        116 |          4 |         13 |        133 |
| question\question-create\material\material.component.html                          | HTML       |         69 |          0 |          1 |         70 |
| question\question-create\material\material.component.less                          | Less       |         38 |          0 |         11 |         49 |
| question\question-create\material\material.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\material\material.component.ts                            | TypeScript |         36 |          4 |          9 |         49 |
| question\question-create\multiple-choice\multiple-choice.component.html            | HTML       |         86 |          0 |          2 |         88 |
| question\question-create\multiple-choice\multiple-choice.component.less            | Less       |         35 |          0 |         10 |         45 |
| question\question-create\multiple-choice\multiple-choice.component.spec.ts         | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\multiple-choice\multiple-choice.component.ts              | TypeScript |        210 |          6 |         24 |        240 |
| question\question-create\question-create.component.html                            | HTML       |          5 |          0 |          1 |          6 |
| question\question-create\question-create.component.less                            | Less       |         13 |          0 |          3 |         16 |
| question\question-create\question-create.component.spec.ts                         | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\question-create.component.ts                              | TypeScript |         16 |          0 |          5 |         21 |
| question\question-create\single-choice\single-choice.component.html                | HTML       |         91 |          0 |          2 |         93 |
| question\question-create\single-choice\single-choice.component.less                | Less       |         35 |          0 |         10 |         45 |
| question\question-create\single-choice\single-choice.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| question\question-create\single-choice\single-choice.component.ts                  | TypeScript |        206 |          5 |         20 |        231 |
| question\question.component.html                                                   | HTML       |         88 |          0 |          1 |         89 |
| question\question.component.less                                                   | Less       |         44 |          0 |         12 |         56 |
| question\question.component.spec.ts                                                | TypeScript |         20 |          0 |          6 |         26 |
| question\question.component.ts                                                     | TypeScript |         98 |          0 |         25 |        123 |
| student-management\formal-student-table\formal-student-table.component.html        | HTML       |         69 |          0 |          4 |         73 |
| student-management\formal-student-table\formal-student-table.component.less        | Less       |         22 |          0 |          3 |         25 |
| student-management\formal-student-table\formal-student-table.component.spec.ts     | TypeScript |         20 |          0 |          6 |         26 |
| student-management\formal-student-table\formal-student-table.component.ts          | TypeScript |        130 |          0 |         20 |        150 |
| student-management\informal-student-table\informal-student-table.component.html    | HTML       |         38 |          0 |          2 |         40 |
| student-management\informal-student-table\informal-student-table.component.less    | Less       |         22 |          0 |          3 |         25 |
| student-management\informal-student-table\informal-student-table.component.spec.ts | TypeScript |         20 |          0 |          6 |         26 |
| student-management\informal-student-table\informal-student-table.component.ts      | TypeScript |         26 |          0 |         11 |         37 |
| student-management\student-exit-record\student-exit-record.component.html          | HTML       |         40 |          0 |          2 |         42 |
| student-management\student-exit-record\student-exit-record.component.less          | Less       |         22 |          0 |          3 |         25 |
| student-management\student-exit-record\student-exit-record.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
